Sprite,X,Y,W,H,Frames,Anchor
heart_full,0,0,8,8,1,top left
heart_half,8,0,8,8,1,top left
heart_empty,8,8,8,8,1,top left
heart_blue,0,8,8,8,1,top left
heartcontainer,16,0,16,16,1,top left
fairy,32,0,8,16,2,top left
timer,48,0,16,16,1,top left
rupee,64,0,8,16,1,top left
rupee_blue,64,16,8,16,1,top left
potion,72,0,8,16,1,top left
potion_blue,72,16,8,16,1,top left
paper,80,0,8,16,1,top left
paper_blue,80,16,8,16,1,top left
meat,88,0,8,16,1,top left
woodensword,96,0,8,16,1,top left
whitesword,96,16,8,16,1,top left
sword,104,0,8,16,1,top left
magicshield,104,16,8,16,1,top left
boomerang,112,0,8,8,1,top left
boomerang_blue,112,8,8,8,1,top left
bomb,120,0,8,16,1,top left
bow,128,0,8,16,1,top left
arrow,136,0,8,16,1,top left
arrow_blue,136,16,8,16,1,top left
candle,144,0,8,16,1,top left
candle_blue,144,16,8,16,1,top left
ring,152,0,8,16,1,top left
ring_blue,152,16,8,16,1,top left
croissant,160,0,8,16,1,top left
ruler,168,0,8,16,1,top left
logs,176,0,16,16,1,top left
ladder,192,0,16,16,1,top left
fire,176,16,16,16,2,top left
magicrod,208,0,8,16,1,top left
book,216,0,8,16,1,top left
key_0,224,0,8,16,1,top left
key_1,232,0,8,16,1,top left
compass,240,0,16,16,1,top left
triforce,256,0,16,16,2,top left
