Sprite,X,Y,W,H,Frames,Anchor
arrow_green_up,0,256,8,16,1,center
arrow_green_down,8,256,8,16,1,center
arrow_green_right,16,256,16,8,1,center
arrow_green_left,16,264,16,8,1,center
arrow_blue_up,32,256,8,16,1,center
arrow_blue_down,40,256,8,16,1,center
arrow_blue_right,48,256,16,8,1,center
arrow_blue_left,48,264,16,8,1,center
poof,64,256,8,8,1,center
boomerang,80,256,8,8,8,center
boomerang_blue,80,264,8,8,8,center
bomb,144,256,16,16,1,center
cloud,160,256,16,16,3,center
fire,208,256,16,16,2,center
